RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645190194505	 	3.3.1
USER	LAU Simulation	1	START	1645190196517	1645190196517
GROUP	2	LAU_100_LogonActivityDownload	1645191403709	1645191403872	162	OK
USER	LAU Simulation	2	END	1645191196949	1645191408873
USER	LAU Simulation	3	START	1645192196510	1645192196510
REQUEST	3	LAU_020_Homepage	LAU Homepage	1645192196521	1645192196652	OK	 
REQUEST	3	LAU_020_Homepage	LAU Homepage Redirect 1	1645192196654	1645192196672	OK	 
REQUEST	3	LAU_020_Homepage	LAU Homepage Redirect 2	1645192196672	1645192196735	OK	 
GROUP	3	LAU_020_Homepage	1645192196518	1645192197123	499	OK
REQUEST	3	LAU_030_Login	LAU Login	1645192202141	1645192202621	OK	 
REQUEST	3	LAU_030_Login	LAU Login Redirect 1	1645192202621	1645192203000	OK	 
REQUEST	3	LAU_030_Login	LAU Login Redirect 2	1645192203001	1645192203063	OK	 
GROUP	3	LAU_030_Login	1645192202140	1645192203361	1216	OK
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645192208370	1645192209131	OK	 
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645192209143	1645192209241	OK	 
GROUP	3	LAU_040_CaseAuditSearch	1645192208369	1645192209686	1209	OK
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645192214681	1645192215750	OK	 
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645192215751	1645192215824	OK	 
GROUP	3	LAU_050_CaseAuditPage2	1645192214680	1645192216140	1441	OK
REQUEST	3	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645192221140	1645192221684	OK	 
GROUP	3	LAU_060_CaseActivityDownload	1645192221140	1645192221685	544	OK
REQUEST	3	LAU_070_CaseSearchDownload	Case Search CSV Download	1645192226710	1645192227638	OK	 
GROUP	3	LAU_070_CaseSearchDownload	1645192226692	1645192227676	928	OK
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645192232634	1645192233401	OK	 
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645192233402	1645192233492	OK	 
GROUP	3	LAU_080_LogonAuditSearch	1645192232631	1645192233877	1116	OK
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645192238880	1645192239443	OK	 
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645192239443	1645192239519	OK	 
GROUP	3	LAU_090_LogonAuditPage2	1645192238880	1645192239779	894	OK
REQUEST	3	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645192244780	1645192245153	OK	 
GROUP	3	LAU_100_LogonActivityDownload	1645192244779	1645192245155	373	OK
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645192250159	1645192250310	OK	 
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645192250311	1645192250377	OK	 
GROUP	3	LAU_040_CaseAuditSearch	1645192250159	1645192250664	499	OK
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645192255658	1645192256191	OK	 
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645192256192	1645192256262	OK	 
GROUP	3	LAU_050_CaseAuditPage2	1645192255658	1645192256561	897	OK
REQUEST	3	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645192261571	1645192261748	OK	 
GROUP	3	LAU_060_CaseActivityDownload	1645192261571	1645192261749	177	OK
REQUEST	3	LAU_070_CaseSearchDownload	Case Search CSV Download	1645192266740	1645192267310	OK	 
GROUP	3	LAU_070_CaseSearchDownload	1645192266739	1645192267312	570	OK
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645192272320	1645192272838	OK	 
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645192272839	1645192272908	OK	 
GROUP	3	LAU_080_LogonAuditSearch	1645192272319	1645192273181	837	OK
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645192278181	1645192278326	OK	 
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645192278327	1645192278415	OK	 
GROUP	3	LAU_090_LogonAuditPage2	1645192278180	1645192278738	552	OK
REQUEST	3	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645192283728	1645192284241	OK	 
GROUP	3	LAU_100_LogonActivityDownload	1645192283728	1645192284244	513	OK
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645192289250	1645192289756	OK	 
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645192289758	1645192289824	OK	 
GROUP	3	LAU_040_CaseAuditSearch	1645192289249	1645192290058	800	OK
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645192295049	1645192295544	OK	 
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645192295545	1645192295629	OK	 
GROUP	3	LAU_050_CaseAuditPage2	1645192295049	1645192295929	875	OK
REQUEST	3	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645192300941	1645192301236	OK	 
GROUP	3	LAU_060_CaseActivityDownload	1645192300940	1645192301237	295	OK
REQUEST	3	LAU_070_CaseSearchDownload	Case Search CSV Download	1645192306230	1645192306821	OK	 
GROUP	3	LAU_070_CaseSearchDownload	1645192306229	1645192306822	591	OK
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645192311829	1645192312079	OK	 
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645192312080	1645192312150	OK	 
